gameid,playerid,estOFFRTG,OFFRTG,estDEFRTG,DEFRTG,estNETRTG,NETRTG,ASTpct,ASTtoTOV,ASTratio,ORBpct,DRBpct,REBpct,TOVratio,effFGpct,TSpct,USGpct,estUSGpct,estpace,pace,paceper40,POS,pie,home_basic,FGM,FGA,FGpct,3PM,3PA,3Ppct,FTM,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,plusminusPTS,home,win,date,team,name,SEC,PTSoffTOV,2ndPTS,FBPTS,PIP,oppPTSoffTOV,opp2ndPTS,oppFBPTS,oppPIP,BLKA,foulsdrawn,SPD,DIST,REBchancesOFF,REBchancesDEF,REBchancestotal,touches,2ndAST,FTAST,passes,contestedFGM,contestedFGA,contestedFGpct,uncontestedFGM,uncontestedFGA,uncontestedFGpct,defendedatrimFGM,defendedatrimFGA,defendedatrimFGpct,date_num
22200680,1630580,132.9,138.5,102.7,104.0,30.3,34.5,0.1,1.0,16.7,0.0,0.0,0.0,16.7,1.125,1.125,0.172,0.178,108.73,105.82,88.18,26,0.126,0,3,4,0.75,3,3,1.0,0,0,0.0,0,0,0,1,0,0,1,0,9,10,18,1.0,2023-01-19 00:00:00,28,258,694,0,0,3,0,8,0,6,12,1,0,4.88,1.0,0,0,0,14,0,0,9,0,1,0.0,3,3,1.0,0,0,0.0,91.0
22200700,1630580,58.9,58.3,113.6,127.3,-54.7,-68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.072,105.6,100.36,83.64,12,-0.056,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,28,1.0,2023-01-22 00:00:00,28,258,330,0,0,0,0,3,5,1,4,0,0,4.87,0.46,0,0,0,4,0,0,3,0,0,0.0,0,1,0.0,0,0,0.0,94.0
22200914,1630580,53.8,53.8,94.9,92.3,-41.1,-38.5,0.0,0.0,0.0,0.0,0.286,0.118,0.0,0.0,0.0,0.2,0.2,91.84,93.13,77.61,13,-0.4,0,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-5,6,1.0,2023-02-26 00:00:00,28,258,402,0,0,0,0,1,1,0,2,0,0,4.42,0.53,0,2,2,8,0,0,5,0,0,0.0,0,3,0.0,0,1,0.0,123.0
22201044,1630580,66.7,57.1,63.5,71.4,3.2,-14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.2,117.21,97.67,7,-0.154,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1,28,1.0,2023-03-16 00:00:00,28,258,172,0,0,0,0,0,2,0,0,0,0,4.39,0.23,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,141.0
22201058,1630580,57.1,50.0,103.1,100.0,-45.9,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.43,127.29,106.08,8,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,28,1.0,2023-03-18 00:00:00,28,258,181,0,0,0,0,0,0,2,4,0,0,4.76,0.27,0,0,0,2,0,0,2,0,0,0.0,0,0,0.0,1,1,1.0,143.0
22201163,1630580,100.0,66.7,0.0,0.0,100.0,66.7,0.0,0.0,0.0,0.0,0.5,0.143,0.0,0.0,0.0,0.0,0.0,58.78,73.47,61.22,3,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,4,0.0,2023-04-02 00:00:00,28,258,98,0,0,0,0,0,0,0,0,0,0,3.84,0.11,1,1,2,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,158.0
22201176,1630580,63.0,60.0,0.0,0.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.96,126.72,105.6,5,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,4,0.0,2023-04-04 00:00:00,28,258,125,0,0,0,0,0,0,0,0,0,0,4.82,0.19,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,159.0
22201206,1630580,250.0,166.7,0.0,0.0,250.0,166.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.31,153.46,127.89,3,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,5,3,1.0,2023-04-07 00:00:00,28,258,56,0,0,0,0,0,0,0,0,0,0,3.22,0.06,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,162.0
22201221,1630580,99.4,106.5,112.7,106.3,-13.3,0.2,0.154,0.0,25.0,0.0,0.083,0.032,0.0,0.0,0.0,0.162,0.166,99.06,98.5,82.08,31,-0.072,1,0,6,0.0,0,5,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,-1,28,1.0,2023-04-09 00:00:00,28,258,921,0,0,0,0,3,2,4,10,0,0,4.45,1.23,2,1,2,17,0,0,11,0,1,0.0,0,5,0.0,0,0,0.0,164.0
22200002,1630590,133.0,125.0,66.7,50.0,66.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136,0.25,0.266,86.91,102.86,85.71,4,0.4,0,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,3,10,1.0,2022-10-18 00:00:00,14,467,112,0,0,0,0,0,0,0,0,0,1,4.55,0.16,0,0,0,5,1,0,5,0,0,0.0,0,0,0.0,0,0,0.0,1.0
